gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
SYNGR3	9	7918	40	21157	1.9897e-01	6.0119e-01	2.5639e-01	1.2594e+00
SYNGR4	12	7915	28	21169	7.2260e-01	1.1462e+00	5.3063e-01	2.3288e+00
SYNJ1	46	7881	119	21078	8.6083e-01	1.0339e+00	7.1833e-01	1.4660e+00
SYNJ2	68	7859	189	21008	8.3288e-01	9.6173e-01	7.1703e-01	1.2770e+00
SYNJ2BP	2	7925	12	21185	3.7655e-01	4.4553e-01	4.8423e-02	2.0019e+00
SYNM	82	7845	201	20996	5.0255e-01	1.0919e+00	8.3287e-01	1.4204e+00
SYNPO	38	7889	101	21096	1.0000e+00	1.0061e+00	6.7323e-01	1.4759e+00
SYNPO2	48	7879	93	21104	7.1721e-02	1.3824e+00	9.5383e-01	1.9812e+00
SYNPO2L	26	7901	84	21113	4.5293e-01	8.2712e-01	5.1081e-01	1.2986e+00
SYNPR	9	7918	34	21163	3.9667e-01	7.0753e-01	2.9830e-01	1.5071e+00
SYNRG	36	7891	102	21095	8.4803e-01	9.4352e-01	6.2599e-01	1.3935e+00
SYP	7	7920	20	21177	1.0000e+00	9.3585e-01	3.3422e-01	2.3051e+00
SYPL1	16	7911	24	21173	7.6133e-02	1.7842e+00	8.8520e-01	3.5028e+00
SYPL2	14	7913	43	21154	7.6619e-01	8.7039e-01	4.3953e-01	1.6230e+00
SYS1	4	7923	25	21172	1.4213e-01	4.2756e-01	1.0810e-01	1.2388e+00
SYT1	7	7920	34	21163	1.6278e-01	5.5013e-01	2.0572e-01	1.2614e+00
SYT10	6	7921	38	21159	4.2316e-02	4.2178e-01	1.4570e-01	1.0062e+00
SYT11	12	7915	48	21149	2.4616e-01	6.6804e-01	3.2281e-01	1.2774e+00
SYT12	18	7909	51	21146	8.9306e-01	9.4365e-01	5.1850e-01	1.6441e+00
SYT13	22	7905	35	21162	7.2265e-02	1.6827e+00	9.3971e-01	2.9521e+00
SYT14	10	7917	47	21150	1.3488e-01	5.6839e-01	2.5595e-01	1.1405e+00
SYT15	5	7922	15	21182	1.0000e+00	8.9128e-01	2.5334e-01	2.5810e+00
SYT16	25	7902	73	21124	8.2016e-01	9.1550e-01	5.5639e-01	1.4607e+00
SYT17	15	7912	48	21149	6.7076e-01	8.3533e-01	4.3420e-01	1.5185e+00
SYT2	11	7916	35	21162	7.4074e-01	8.4020e-01	3.8472e-01	1.6936e+00
SYT3	31	7896	84	21113	1.0000e+00	9.8679e-01	6.3105e-01	1.5074e+00
SYT4	11	7916	37	21160	6.2660e-01	7.9471e-01	3.6546e-01	1.5920e+00
SYT5	11	7916	27	21170	8.5542e-01	1.0895e+00	4.8749e-01	2.2707e+00
SYT6	12	7915	30	21167	8.6261e-01	1.0697e+00	4.9854e-01	2.1528e+00
SYT7	37	7890	70	21127	1.0190e-01	1.4153e+00	9.2281e-01	2.1394e+00
SYT8	18	7909	70	21127	1.8647e-01	6.8693e-01	3.8473e-01	1.1670e+00
SYT9	18	7909	56	21141	6.9485e-01	8.5920e-01	4.7504e-01	1.4846e+00
SYTL1	21	7906	65	21132	6.2831e-01	8.6356e-01	5.0104e-01	1.4324e+00
SYTL2	23	7904	78	21119	3.7035e-01	7.8790e-01	4.7178e-01	1.2691e+00
SYTL3	16	7911	68	21129	1.0979e-01	6.2841e-01	3.3996e-01	1.0960e+00
SYTL4	7	7920	30	21167	3.5469e-01	6.2359e-01	2.3110e-01	1.4497e+00
SYTL5	8	7919	29	21168	5.7949e-01	7.3742e-01	2.9115e-01	1.6542e+00
SYVN1	21	7906	46	21151	4.9180e-01	1.2214e+00	6.9184e-01	2.0899e+00
SZRD1	12	7915	15	21182	5.1966e-02	2.1409e+00	9.1456e-01	4.9022e+00
SZT2	108	7819	280	20917	7.7427e-01	1.0318e+00	8.1731e-01	1.2949e+00
TAAR1	8	7919	24	21173	1.0000e+00	8.9124e-01	3.4597e-01	2.0516e+00
TAAR2	9	7918	33	21164	4.8907e-01	7.2900e-01	3.0666e-01	1.5581e+00
TAAR5	2	7925	23	21174	3.9736e-02	2.3233e-01	2.6519e-02	9.4064e-01
TAAR6	17	7910	31	21166	1.9768e-01	1.4674e+00	7.6133e-01	2.7364e+00
TAAR8	6	7921	26	21171	3.2663e-01	6.1678e-01	2.0752e-01	1.5331e+00
TAAR9	14	7913	26	21171	2.8663e-01	1.4406e+00	6.9495e-01	2.8637e+00
TAB1	30	7897	62	21135	2.4232e-01	1.2950e+00	8.0767e-01	2.0354e+00
TAB2	21	7906	63	21134	7.1368e-01	8.9106e-01	5.1601e-01	1.4816e+00
TAB3	13	7914	32	21165	8.6690e-01	1.0865e+00	5.2306e-01	2.1296e+00
TAC1	2	7925	6	21191	1.0000e+00	8.9132e-01	8.7956e-02	4.9859e+00
TAC3	4	7923	11	21186	1.0000e+00	9.7234e-01	2.2575e-01	3.2824e+00
TAC4	7	7920	10	21187	2.7236e-01	1.8725e+00	6.0475e-01	5.4511e+00
TACC1	21	7906	85	21112	1.0045e-01	6.5978e-01	3.8826e-01	1.0745e+00
TACC2	107	7820	313	20884	4.3981e-01	9.1295e-01	7.2491e-01	1.1424e+00
TACC3	49	7878	101	21096	1.4109e-01	1.2991e+00	9.0316e-01	1.8470e+00
TACO1	17	7910	37	21160	5.4022e-01	1.2291e+00	6.4858e-01	2.2397e+00
TACR1	15	7912	29	21168	3.1097e-01	1.3838e+00	6.8914e-01	2.6685e+00
TACR2	11	7916	41	21156	4.3510e-01	7.1706e-01	3.3220e-01	1.4213e+00
TACR3	11	7916	32	21165	1.0000e+00	9.1909e-01	4.1774e-01	1.8722e+00
TACSTD2	14	7913	36	21161	8.7456e-01	1.0400e+00	5.1789e-01	1.9771e+00
TADA1	10	7917	19	21178	4.0454e-01	1.4079e+00	5.8445e-01	3.1842e+00
TADA2A	15	7912	37	21160	7.5722e-01	1.0842e+00	5.5248e-01	2.0251e+00
TADA2B	22	7905	57	21140	8.9952e-01	1.0322e+00	6.0041e-01	1.7164e+00
TADA3	22	7905	48	21149	4.2179e-01	1.2263e+00	7.0440e-01	2.0726e+00
TAF1	26	7901	71	21126	1.0000e+00	9.7914e-01	5.9902e-01	1.5555e+00
TAF10	13	7914	18	21179	7.1103e-02	1.9328e+00	8.7018e-01	4.1745e+00
TAF11	5	7922	15	21182	1.0000e+00	8.9128e-01	2.5334e-01	2.5810e+00
TAF11L10	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
TAF11L11	20	7907	33	21164	9.0247e-02	1.6222e+00	8.8153e-01	2.9139e+00
TAF11L12	11	7916	38	21159	5.2301e-01	7.7376e-01	3.5654e-01	1.5457e+00
TAF11L13	7	7920	35	21162	1.6386e-01	5.3439e-01	2.0023e-01	1.2217e+00
TAF11L14	10	7917	21	21176	5.4607e-01	1.2737e+00	5.3530e-01	2.8274e+00
TAF11L2	13	7914	24	21173	2.7204e-01	1.4491e+00	6.7728e-01	2.9633e+00
