gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
MARC2	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MARCH1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MARCH10	6	7921	13	21184	6.1541e-01	1.2344e+00	3.8456e-01	3.4822e+00
MARCH11	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCH2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCH3	2	7925	2	21195	2.9964e-01	2.6743e+00	1.9382e-01	3.6903e+01
MARCH5	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCH6	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCH7	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MARCH8	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
MARCH9	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MARCKS	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCKSL1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MARCO	6	7921	9	21188	2.5759e-01	1.7832e+00	5.2213e-01	5.6110e+00
MARCOL	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
